feature_name,importance
longitude,0.1689126977483887
latitude,0.16539717083786726
median_income,0.1477358332635808
population,0.11291537624508245
housing_median_age,0.10605172846739767
total_rooms,0.1011132501883318
total_bedrooms,0.08579559722105969
households,0.07566753159789068
INLAND,0.014480622750481292
<1H OCEAN,0.012388047208504227
NEAR OCEAN,0.006445132669289361
NEAR BAY,0.0030970118021260568
